"team","serve_rat","reciv_rat"
"Minnesota",0.313484655013716,0.553651860938239
"Florida",0.21841484843739,0.699945120569961
"Oregon",0.408871467551225,0.740646161261696
"Stanford",0.221528939666453,0.988845285026935
"Iowa",-0.00946086254762308,0.130732957160837
"Nebraska",0.42750090740015,0.921360224208922
"Northern Ky.",-0.0780372514464437,0.163343029675219
"Texas",0.379460092447022,0.626369459506243
"Baylor",0.124894465722695,0.606136136080547
"Ohio St.",0.13639230248657,0.512320871387772
"Indiana",0.214867751259143,0.579274924796536
"Long Beach St.",0.135956492309317,0.51402544217517
"UCLA",0.125048334856996,0.48812712402491
"Washington",0.230219414780765,0.33350384829715
"Lindenwood",-0.270957679638817,-0.0231352856358896
"Austin Peay",-0.237256225305292,0.0499917623280559
"Miami (FL)",0.110689298953263,0.477067654557739
"FIU",-0.0603511919329347,0.154230989317274
"Wisconsin",0.439188093492854,0.850462363222335
"ETSU",-0.328599801499429,-0.0724815501036541
"Arkansas",0.291276671072523,0.752877080078815
"Marquette",0.127421689355232,0.564800713855665
"Northwestern",0.116108664307624,0.475549658335507
"Boston College",0.0118661144793871,0.337972210823428
"Michigan",-0.0172488952367674,0.227973949212862
"Colorado St.",0.023259545077317,0.429829875380657
"Bowling Green",0.0122932864354773,0.272720326653818
"Maryland",-0.0172980257852216,0.454742322706257
"Purdue",0.195580934415696,0.598796748272692
"Kansas",0.205836760152624,0.724850720898614
"Rutgers",-0.0792327391629826,0.22224465001351
"Northeastern",-0.17720333605282,-0.0355110850525154
"Fairfield",-0.165973563279463,0.0514634594607676
"Michigan St.",0.129382683843875,0.395633465760323
"Central Ark.",-0.22201940284976,0.15049224600548
"Illinois",-0.0764923941986224,0.376678119264409
"UConn",-0.281886798215868,-0.00685668121292433
"Brown",-0.0568679111065036,0.232162118943278
"Binghamton",-0.255420417432141,0.0740948711151238
"Navy",-0.00475683244333821,0.27315395642411
"FGCU",0.0471322244555083,0.257848958245581
"Utah Valley",-0.142554500454541,0.0628027690110936
"Howard",-0.259413023389655,0.05239944768721
"Fla. Atlantic",-0.229558359526694,0.288136538584485
"Cal Poly",-0.0194610184189388,0.250822964846457
"Syracuse",-0.494471285931363,-0.0841079866492384
"Cornell",-0.390373679605988,-0.118467982607194
"Sacramento St.",0.0141382543623098,0.223025014328093
"NIU",-0.228013809379195,0.0948142832076798
"UIC",0.00010634209475395,0.336417387294146
"Notre Dame",0.01851039882819,0.285213950266201
"Bradley",-0.144691992966736,0.0496304147519205
"UCF",0.233975429171422,0.481355110853305
"Kansas St.",0.088897724825214,0.454585207266082
"Penn St.",0.255111854560965,0.754353081611681
"Temple",0.0239523531129552,0.158934310448338
"Louisville",0.35637785170814,0.756371632860215
"N.C. A&T",-0.363852161928556,0.0257462024735602
"Morgan St.",-0.460179273345903,-0.34459436135781
"Columbia",-0.489265599005937,-0.193430868709786
"NC State",0.0554397888274657,0.476038075834001
"Rider",-0.43364697635728,-0.149637773281824
"Georgia St.",-0.328575824728554,-0.0973774633761513
"Oklahoma",-0.0319086938685693,0.396580066634765
"Sam Houston",-0.300310689125119,0.0435054289390379
"UTEP",0.0499234464400203,0.360737317226744
"Tarleton St.",-0.0785142913566049,0.0936213370515468
"Memphis",-0.335526201021811,0.100992129680896
"Arizona",-0.000305039986572375,0.368749370382338
"CSU Bakersfield",-0.120674315810381,-0.0452495473111694
"UTSA",-0.0260971184525875,0.178689104149003
"Chattanooga",-0.243691200993551,0.0894727927422689
"Buffalo",0.0197290077671225,0.315844700035946
"Furman",-0.198143606465259,0.0570063339483439
"FDU",-0.360256682876997,-0.133907897298527
"Bellarmine",-0.397199375208139,-0.0205867376669138
"Elon",-0.332628136312458,-0.069867244381918
"Marshall",-0.213660636731586,0.0694751129193584
"North Ala.",-0.21661593828348,0.157794487101171
"Texas St.",-0.0123945475571739,0.249927799743605
"Jackson St.",-0.307716768056423,-0.257118046398868
"Saint Louis",-0.134949865353348,0.0878595761992274
"Toledo",-0.195498633433285,0.12661393929479
"Texas Tech",-0.0196829519557292,0.19773885204235
"Youngstown St.",-0.214629576547838,-0.129992833332365
"Army West Point",-0.0202480255221352,-0.0370256410203959
"Southeast Mo. St.",-0.0908614581051433,0.15088803880802
"Morehead St.",-0.192122758830967,0.0991503370320011
"Coppin St.",-0.138002166949944,0.196412886862603
"Valparaiso",-0.139609767908359,0.228606619267625
"Seton Hall",-0.12440760903919,0.152152246858879
"South Dakota St.",-0.250197330186168,0.0031166508785021
"Cleveland St.",-0.227574798505056,0.168004722371656
"Miami (OH)",-0.327169713124888,-0.0390996897593124
"Eastern Mich.",-0.320459122230176,-0.0430528349889194
"Northwestern St.",-0.280226846794308,0.0864529244142864
"A&M-Corpus Christi",-0.199079186219807,0.187567213816414
"Arkansas St.",-0.148089055211693,0.156596098982353
"Wyoming",-0.12171652677025,0.301252970845264
"Charlotte",-0.155180455637579,-0.0102350795791802
"Butler",-0.127331527622401,0.283425306321348
"North Dakota",-0.283528471402589,-0.00904965104996424
"Davidson",-0.0919972105028685,0.294344054956157
"UC San Diego",-0.112176619004644,0.145659184917493
"Bucknell",-0.326371641325121,0.0889384536646876
"Manhattan",-0.603367604922234,-0.483232221142101
"East Carolina",0.0227086377720376,0.284996928996808
"Belmont",-0.292983188097473,-0.0197801469794651
"Santa Clara",-0.0682333656832003,0.141126698299629
"App State",-0.0206949723724028,0.164785976946819
"Virginia Tech",-0.0440900473303247,0.3468162443893
"Southeastern La.",-0.0525062432313867,0.372750576104505
"Montana St.",-0.160040112466871,0.175693673480808
"Alabama",0.00388045731192261,0.201192121718053
"Weber St.",0.00955282588900066,0.37364419021467
"Missouri St.",-0.159946667111279,0.072936587758782
"Ark.-Pine Bluff",-0.767966655481991,-0.63116154793589
"Eastern Ill.",0.0658690787577534,0.250620477805159
